State,CD,STATE_CD,Last_name,First_name,Party,PVI,Sixteen_Winner,Sixteen_Margin,Trump_tot,Clinton_tot,Twelve_winner,Twelve_Margin,Romney_tot,Obama_tot,Trump_net_percentage
FL,26,FL-26,CURBELO, CARLOS ,R,D+ 6,Clinton,16,41,57,Obama,12,44,56,-4
CO,7,CO-7,Perlmutter, Ed ,D,D+ 6,Clinton,12,40,52,Obama,15,42,56,-2
KY,3,KY-3,Yarmuth, John ,D,D+ 6,Clinton,15,40,55,Obama,13,43,56,-3
WA,1,WA-1,DelBene, Suzan ,D,D+ 6,Clinton,16,38,54,Obama,11,43,54,-6
WA,6,WA-6,Kilmer, Derek ,D,D+ 6,Clinton,12,40,52,Obama,15,41,56,-2
RI,2,RI-2,Langevin, Jim ,D,D+ 6,Clinton,7,43,50,Obama,22,38,60,5
FL,22,FL-22,Deutch, Ted ,D,D+ 6,Clinton,16,41,57,Obama,13,43,57,-2
GA,2,GA-2,Bishop, Sanford ,D,D+ 6,Clinton,12,43,55,Obama,18,41,59,3
MA,6,MA-6,Moulton, Seth ,D,D+ 6,Clinton,18,38,55,Obama,11,44,55,-6
IL,3,IL-3,Lipinski, Daniel ,D,D+ 6,Clinton,15,39,55,Obama,14,43,56,-3
CA,52,CA-52,Peters, Scott ,D,D+ 6,Clinton,23,36,58,Obama,6,46,52,-10
DE,AL,DE-AL,Carney, John C. Jr.,D,D+ 6,Clinton,11,42,53,Obama,19,40,59,2
CA,24,CA-24,Carbajal, Salud ,D,D+ 7,Clinton,20,36,56,Obama,11,43,54,-7
TN,5,TN-5,Cooper, Jim ,D,D+ 7,Clinton,18,38,56,Obama,13,43,56,-5
TX,15,TX-15,Gonzalez, Vicente ,D,D+ 7,Clinton,17,40,56,Obama,16,42,57,-2
CA,26,CA-26,Brownley, Julia ,D,D+ 7,Clinton,21,35,57,Obama,10,44,54,-9
OH,13,OH-13,Ryan, Tim ,D,D+ 7,Clinton,7,45,51,Obama,27,36,63,9
NY,20,NY-20,Tonko, Paul ,D,D+ 7,Clinton,13,40,53,Obama,20,39,59,1
CT,4,CT-4,Himes, Jim ,D,D+ 7,Clinton,23,37,60,Obama,11,44,55,-8
MO,5,MO-5,Cleaver, Emanuel ,D,D+ 7,Clinton,15,40,55,Obama,20,39,59,0
FL,14,FL-14,Castor, Kathy ,D,D+ 7,Clinton,18,39,57,Obama,17,42,58,-3
NM,1,NM-1,Lujan Grisham, Michelle ,D,D+ 7,Clinton,17,35,52,Obama,16,40,55,-5
NY,17,NY-17,Lowey, Nita ,D,D+ 7,Clinton,20,38,58,Obama,15,42,57,-4
NM,3,NM-3,Lujan, Ben Ray ,D,D+ 8,Clinton,15,37,52,Obama,19,39,58,-2
NY,25,NY-25,Slaughter, Louise ,D,D+ 8,Clinton,16,39,55,Obama,19,39,59,-1
IN,1,IN-1,Visclosky, Peter ,D,D+ 8,Clinton,13,41,54,Obama,24,37,61,4
CA,9,CA-9,McNerney, Jerry ,D,D+ 8,Clinton,18,37,55,Obama,18,40,58,-3
ME,1,ME-1,Pingree, Chellie ,D,D+ 8,Clinton,15,39,54,Obama,21,38,59,1
CA,31,CA-31,Aguilar, Pete ,D,D+ 8,Clinton,21,37,58,Obama,17,41,57,-4
IL,8,IL-8,Krishnamoorthi, Raja ,D,D+ 8,Clinton,22,36,58,Obama,17,41,58,-5
MA,3,MA-3,Tsongas, Nicola ,D,D+ 9,Clinton,23,35,57,Obama,16,41,57,-7
NJ,6,NJ-6,Pallone, Frank ,D,D+ 9,Clinton,16,41,56,Obama,24,38,62,3
MA,2,MA-2,McGovern, James ,D,D+ 9,Clinton,19,36,55,Obama,20,39,59,-3
FL,21,FL-21,Frankel, Lois ,D,D+ 9,Clinton,20,39,59,Obama,22,39,61,0
MA,4,MA-4,Kennedy, Joseph ,D,D+ 9,Clinton,24,34,58,Obama,16,41,57,-7
CO,2,CO-2,Polis, Jared ,D,D+ 9,Clinton,21,35,56,Obama,18,40,58,-5
TX,28,TX-28,Cuellar, Henry ,D,D+ 9,Clinton,20,38,58,Obama,22,39,60,-1
IL,11,IL-11,Foster, Bill ,D,D+ 9,Clinton,23,35,58,Obama,17,41,58,-5
CA,16,CA-16,Costa, Jim ,D,D+ 9,Clinton,21,36,57,Obama,19,39,59,-3
OR,1,OR-1,Bonamici, Suzanne ,D,D+ 9,Clinton,22,33,55,Obama,17,40,57,-7
